"o_10"	"10"	"0012"	"2.8"	"7500"	"21000"
"o_12"	"12"	"0020"	"4"	"5000"	"19888"
"o_13"	"13"	"0029"	"6"	"3350"	"19888"
"o_14"	"14"	"0022"	"4"	"5000"	"20000"
"o_15"	"15"	"0030"	"6"	"2900"	"16888"
"o_17"	"17"	"0003"	"7.5"	"2500"	"17500"
"o_18"	"18"	"0009"	"8"	"2200"	"17000"
"o_19"	"19"	"0011"	"2.5"	"7200"	"18000"
"o_2"	"2"	"0010"	"2.5"	"6000"	"15000"
"o_20"	"20"	"0019"	"4"	"5000"	"20000"
"o_21"	"21"	"0033"	"6.2"	"5000"	"31000"
"o_22"	"22"	"0003"	"7.5"	"3800"	"28000"
"o_23"	"23"	"0006"	"8"	"3700"	"29000"
"o_24"	"24"	"0021"	"4"	"6750"	"26888"
"o_30"	"30"	"0004"	"6"	"500"	"3000"
"o_31"	"31"	"0003"	"6"	"500"	"3000"
"o_5"	"5"	"0005"	"7"	"1900"	"13200"
"o_6"	"6"	"0007"	"9"	"1600"	"14000"
"o_7"	"7"	"0017"	"4"	"2300"	"9000"
"o_8"	"8"	"0032"	"6.3"	"1400"	"8500"
