"2"	"0001"	"65432"	"15000"
"5"	"0002"	"65410"	"13200"
"6"	"0002"	"65410"	"14000"
"7"	"0002"	"65410"	"9000"
"8"	"0002"	"65410"	"8500"
"10"	"0003"	"12300"	"21000"
"12"	"0003"	"12300"	"19888"
"13"	"0003"	"12300"	"19888"
"14"	"0004"	"10086"	"20000"
"15"	"0004"	"10086"	"16888"
"17"	"0005"	"10001"	"17500"
"18"	"0005"	"10001"	"17000"
"19"	"0005"	"10001"	"18000"
"20"	"0005"	"10001"	"20000"
"21"	"0005"	"10001"	"31000"
"22"	"0006"	"96110"	"28000"
"23"	"0006"	"96110"	"29000"
"24"	"0006"	"96110"	"26888"
"30"	"0001"	"65432"	"3000"
"31"	"0001"	"65432"	"3000"
