"0001"	"0001"	"0003"
"0001"	"0007"	"0003"
"0001"	"0001"	"0004"
"0001"	"0007"	"0005"
"0001"	"0007"	"0006"
"0001"	"0001"	"0007"
"0001"	"0007"	"0007"
"0001"	"0001"	"0008"
"0001"	"0001"	"0009"
"0002"	"0008"	"0010"
"0002"	"0002"	"0011"
"0002"	"0008"	"0011"
"0002"	"0008"	"0012"
"0003"	"0003"	"0016"
"0003"	"0009"	"0016"
"0004"	"0004"	"0017"
"0004"	"0010"	"0017"
"0004"	"0004"	"0018"
"0004"	"0004"	"0019"
"0004"	"0004"	"0020"
"0004"	"0010"	"0020"
"0004"	"0010"	"0021"
"0005"	"0004"	"0022"
"0004"	"0010"	"0023"
"0004"	"0004"	"0024"
"0004"	"0004"	"0025"
"0005"	"0005"	"0026"
"0005"	"0011"	"0026"
"0005"	"0005"	"0027"
"0005"	"0005"	"0028"
"0005"	"0011"	"0029"
"0005"	"0005"	"0030"
"0005"	"0005"	"0031"
"0005"	"0005"	"0032"
"0005"	"0011"	"0032"
"0005"	"0011"	"0033"
